arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Pop	0	x	93	4275745729743	-1	-1	-1	104
AMD	Treiber	Push	0	x	92	4275745730233	-1	-1	4275745730233	91
AMD	Treiber	Pop	0	x	92	4275745730778	-1	-1	-1	111
AMD	Treiber	Pop	0	x	88	4275745731284	-1	-1	-1	110
AMD	Treiber	Pop	0	x	62	4275745731882	-1	-1	-1	138
AMD	Treiber	Pop	0	x	82	4275745732388	-1	-1	-1	97
AMD	Treiber	Pop	0	x	81	4275745732894	-1	-1	-1	117
AMD	Treiber	Pop	0	x	56	4275745733538	-1	-1	-1	144
AMD	Treiber	Pop	0	x	76	4275745734037	-1	-1	-1	116
AMD	Treiber	Pop	0	x	50	4275745734550	-1	-1	-1	123
AMD	Treiber	Pop	0	x	70	4275745735056	-1	-1	-1	103
AMD	Treiber	Pop	0	x	44	4275745735569	-1	-1	-1	150
AMD	Treiber	Pop	0	x	63	4275745736091	-1	-1	-1	122
AMD	Treiber	Pop	0	x	64	4275745736590	-1	-1	-1	129
AMD	Treiber	Pop	0	x	57	4275745737110	-1	-1	-1	109
AMD	Treiber	Pop	0	x	58	4275745737609	-1	-1	-1	156
AMD	Treiber	Pop	0	x	32	4275745738122	-1	-1	-1	128
AMD	Treiber	Pop	0	x	51	4275745738644	-1	-1	-1	135
AMD	Treiber	Pop	0	x	52	4275745739150	-1	-1	-1	115
AMD	Treiber	Pop	0	x	26	4275745739663	-1	-1	-1	162
AMD	Treiber	Pop	0	x	20	4275745740162	-1	-1	-1	141
AMD	Treiber	Pop	0	x	46	4275745740684	-1	-1	-1	121
AMD	Treiber	Pop	0	x	91	4275745741181	-1	-1	-1	134
AMD	Treiber	Pop	0	x	14	4275745741811	-1	-1	-1	127
AMD	Treiber	Pop	0	x	39	4275745742317	-1	-1	-1	140
AMD	Treiber	Pop	0	x	40	4275745742837	-1	-1	-1	133
AMD	Treiber	Pop	0	x	85	4275745743352	-1	-1	-1	168
AMD	Treiber	Pop	0	x	33	4275745743842	-1	-1	-1	146
AMD	Treiber	Pop	0	x	34	4275745744355	-1	-1	-1	147
AMD	Treiber	Pop	0	x	8	4275745744854	-1	-1	-1	139
AMD	Treiber	Pop	0	x	27	4275745745367	-1	-1	-1	174
AMD	Treiber	Pop	0	x	79	4275745745866	-1	-1	-1	153
AMD	Treiber	Pop	0	x	28	4275745746379	-1	-1	-1	145
AMD	Treiber	Pop	0	x	21	4275745746885	-1	-1	-1	180
AMD	Treiber	Pop	0	x	73	4275745747377	-1	-1	-1	152
AMD	Treiber	Pop	0	x	22	4275745747874	-1	-1	-1	159
AMD	Treiber	Pop	0	x	15	4275745748366	-1	-1	-1	151
AMD	Treiber	Pop	0	x	67	4275745748872	-1	-1	-1	158
AMD	Treiber	Pop	0	x	16	4275745749401	-1	-1	-1	186
AMD	Treiber	Pop	0	x	9	4275745749930	-1	-1	-1	157
AMD	Treiber	Pop	0	x	61	4275745750427	-1	-1	-1	165
AMD	Treiber	Pop	0	x	55	4275745750910	-1	-1	-1	164
AMD	Treiber	Pop	0	x	10	4275745751416	-1	-1	-1	163
AMD	Treiber	Push	0	x	97	4275745751908	-1	-1	4275745751908	192
AMD	Treiber	Pop	0	x	97	4275745752566	-1	-1	-1	170
AMD	Treiber	Pop	0	x	49	4275745753081	-1	-1	-1	169
AMD	Treiber	Pop	0	x	3	4275745753594	-1	-1	-1	171
AMD	Treiber	Push	0	x	103	4275745754116	-1	-1	4275745754116	198
AMD	Treiber	Pop	0	x	103	4275745754721	-1	-1	-1	176
AMD	Treiber	Pop	0	x	43	4275745755234	-1	-1	-1	177
AMD	Treiber	Pop	0	x	37	4275745755786	-1	-1	-1	175
AMD	Treiber	Pop	0	x	31	4275745756285	-1	-1	-1	182
AMD	Treiber	Push	0	x	109	4275745756798	-1	-1	4275745756798	204
AMD	Treiber	Pop	0	x	109	4275745757405	-1	-1	-1	183
AMD	Treiber	Pop	0	x	25	4275745757902	-1	-1	-1	181
AMD	Treiber	Push	0	x	115	4275745758401	-1	-1	4275745758401	210
AMD	Treiber	Pop	0	x	115	4275745758992	-1	-1	-1	188
AMD	Treiber	Pop	0	x	19	4275745759659	-1	-1	-1	187
AMD	Treiber	Pop	0	x	4	4275745760179	-1	-1	-1	189
AMD	Treiber	Push	0	x	121	4275745760701	-1	-1	4275745760701	216
