arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Pop	2	x	93	4275739785929	-1	-1	-1	104
AMD	Treiber	Push	1	x	92	4275739786467	-1	-1	4275739786467	91
AMD	Treiber	Pop	3	x	92	4275739787171	-1	-1	-1	111
AMD	Treiber	Pop	2	x	87	4275739787502	-1	-1	-1	110
AMD	Treiber	Pop	0	x	62	4275739788008	-1	-1	-1	138
AMD	Treiber	Pop	1	x	56	4275739788514	-1	-1	-1	97
AMD	Treiber	Pop	3	x	82	4275739789310	-1	-1	-1	117
AMD	Treiber	Pop	0	x	76	4275739789556	-1	-1	-1	144
AMD	Treiber	Pop	2	x	75	4275739790154	-1	-1	-1	116
AMD	Treiber	Pop	3	x	50	4275739791159	-1	-1	-1	123
AMD	Treiber	Pop	1	x	70	4275739791695	-1	-1	-1	103
AMD	Treiber	Pop	0	x	44	4275739791955	-1	-1	-1	150
AMD	Treiber	Pop	2	x	64	4275739792247	-1	-1	-1	122
AMD	Treiber	Pop	3	x	38	4275739793013	-1	-1	-1	129
AMD	Treiber	Pop	1	x	57	4275739793082	-1	-1	-1	109
AMD	Treiber	Pop	0	x	58	4275739793758	-1	-1	-1	156
AMD	Treiber	Pop	2	x	26	4275739794048	-1	-1	-1	128
AMD	Treiber	Pop	3	x	32	4275739794632	-1	-1	-1	135
AMD	Treiber	Pop	1	x	52	4275739795191	-1	-1	-1	115
AMD	Treiber	Pop	0	x	91	4275739796003	-1	-1	-1	162
AMD	Treiber	Pop	3	x	14	4275739796702	-1	-1	-1	141
AMD	Treiber	Pop	1	x	45	4275739797353	-1	-1	-1	121
AMD	Treiber	Pop	2	x	46	4275739798128	-1	-1	-1	134
AMD	Treiber	Pop	1	x	20	4275739798802	-1	-1	-1	127
AMD	Treiber	Pop	2	x	39	4275739799630	-1	-1	-1	140
AMD	Treiber	Pop	1	x	40	4275739800396	-1	-1	-1	133
AMD	Treiber	Pop	0	x	85	4275739801362	-1	-1	-1	168
AMD	Treiber	Pop	2	x	79	4275739801578	-1	-1	-1	146
AMD	Treiber	Pop	3	x	8	4275739802252	-1	-1	-1	147
AMD	Treiber	Pop	1	x	33	4275739802827	-1	-1	-1	139
AMD	Treiber	Pop	0	x	34	4275739803264	-1	-1	-1	174
AMD	Treiber	Pop	3	x	27	4275739803947	-1	-1	-1	153
AMD	Treiber	Pop	1	x	28	4275739804223	-1	-1	-1	145
AMD	Treiber	Pop	0	x	73	4275739805005	-1	-1	-1	180
AMD	Treiber	Pop	2	x	21	4275739805511	-1	-1	-1	152
AMD	Treiber	Pop	3	x	15	4275739806215	-1	-1	-1	159
AMD	Treiber	Pop	1	x	22	4275739806484	-1	-1	-1	151
AMD	Treiber	Pop	2	x	67	4275739807013	-1	-1	-1	158
AMD	Treiber	Pop	0	x	9	4275739807664	-1	-1	-1	186
AMD	Treiber	Pop	1	x	16	4275739808216	-1	-1	-1	157
AMD	Treiber	Pop	3	x	55	4275739809152	-1	-1	-1	165
AMD	Treiber	Pop	2	x	61	4275739809228	-1	-1	-1	164
AMD	Treiber	Pop	1	x	10	4275739809895	-1	-1	-1	163
AMD	Treiber	Push	0	x	97	4275739810502	-1	-1	4275739810502	192
AMD	Treiber	Pop	2	x	97	4275739811100	-1	-1	-1	170
AMD	Treiber	Pop	1	x	3	4275739811390	-1	-1	-1	169
AMD	Treiber	Pop	3	x	49	4275739811859	-1	-1	-1	171
AMD	Treiber	Push	0	x	103	4275739812503	-1	-1	4275739812503	198
AMD	Treiber	Pop	2	x	43	4275739812848	-1	-1	-1	176
AMD	Treiber	Pop	3	x	103	4275739813591	-1	-1	-1	177
AMD	Treiber	Pop	1	x	37	4275739814005	-1	-1	-1	175
AMD	Treiber	Pop	2	x	109	4275739814748	-1	-1	-1	182
AMD	Treiber	Push	0	x	109	4275739815155	-1	-1	4275739815155	204
AMD	Treiber	Pop	3	x	25	4275739816289	-1	-1	-1	183
AMD	Treiber	Pop	1	x	31	4275739816482	-1	-1	-1	181
AMD	Treiber	Push	0	x	115	4275739816919	-1	-1	4275739816919	210
AMD	Treiber	Pop	2	x	115	4275739817324	-1	-1	-1	188
AMD	Treiber	Pop	1	x	19	4275739818023	-1	-1	-1	187
AMD	Treiber	Pop	3	x	4	4275739818483	-1	-1	-1	189
AMD	Treiber	Push	0	x	121	4275739818927	-1	-1	4275739818927	216
AMD	Treiber	Push	2	x	99	4275739819495	-1	-1	4275739819495	194
AMD	Treiber	Push	3	x	100	4275739820452	-1	-1	4275739820452	195
AMD	Treiber	Push	1	x	98	4275739821020	-1	-1	4275739821020	193
AMD	Treiber	Push	2	x	105	4275739821473	-1	-1	4275739821473	200
AMD	Treiber	Push	0	x	127	4275739821956	-1	-1	4275739821956	222
AMD	Treiber	Push	3	x	106	4275739822469	-1	-1	4275739822469	201
AMD	Treiber	Push	1	x	104	4275739822814	-1	-1	4275739822814	199
AMD	Treiber	Push	2	x	111	4275739823396	-1	-1	4275739823396	206
AMD	Treiber	Push	0	x	133	4275739823849	-1	-1	4275739823849	228
AMD	Treiber	Push	3	x	112	4275739824463	-1	-1	4275739824463	207
AMD	Treiber	Push	1	x	110	4275739824877	-1	-1	4275739824877	205
AMD	Treiber	Push	0	x	139	4275739825390	-1	-1	4275739825390	234
AMD	Treiber	Push	2	x	117	4275739825935	-1	-1	4275739825935	212
AMD	Treiber	Push	1	x	116	4275739826556	-1	-1	4275739826556	211
AMD	Treiber	Push	3	x	118	4275739826770	-1	-1	4275739826770	213
AMD	Treiber	Push	2	x	123	4275739827407	-1	-1	4275739827407	218
AMD	Treiber	Push	0	x	145	4275739827743	-1	-1	4275739827743	240
AMD	Treiber	Push	3	x	124	4275739828249	-1	-1	4275739828249	219
AMD	Treiber	Push	1	x	122	4275739828511	-1	-1	4275739828511	217
AMD	Treiber	Push	2	x	129	4275739829109	-1	-1	4275739829109	224
AMD	Treiber	Push	0	x	151	4275739829438	-1	-1	4275739829438	246
AMD	Treiber	Push	3	x	130	4275739830029	-1	-1	4275739830029	225
AMD	Treiber	Push	1	x	128	4275739830243	-1	-1	4275739830243	223
